timestamp,request_id,latency_ms,status,status_code,sla_violation,fraud_score,response_latency_ms
2025-12-10T22:03:08.265036,1,684.12,success,200,1,0.814,3351.09
2025-12-10T22:03:08.436606,2,666.66,success,200,1,0.866,3298.14
2025-12-10T22:03:08.780178,4,1373.26,success,200,1,0.305,6840.63
2025-12-10T22:03:09.122300,6,1311.25,success,200,1,0.594,6534.05
2025-12-10T22:03:08.608325,3,1435.12,success,200,1,0.903,7146.69
2025-12-10T22:03:08.950563,5,1369.99,success,200,1,0.653,6828.8
2025-12-10T22:03:11.770580,8,1419.94,success,200,1,0.72,7067.81
2025-12-10T22:03:11.687678,7,1463.56,success,200,1,0.38,7278.53
2025-12-10T22:03:15.784370,11,1425.26,success,200,1,0.947,7105.99
2025-12-10T22:03:15.647452,9,1455.88,success,200,1,0.288,7254.19
2025-12-10T22:03:15.800766,12,1433.27,success,200,1,0.75,7139.39
2025-12-10T22:03:15.679893,10,1457.82,success,200,1,0.427,7177.76
2025-12-10T22:03:19.006455,14,1412.42,success,200,1,0.646,7011.47
2025-12-10T22:03:18.871344,13,1451.81,success,200,1,0.092,7122.18
2025-12-10T22:03:22.927457,16,1431.88,success,200,1,0.51,7136.97
2025-12-10T22:03:22.969131,18,1425.08,success,200,1,0.866,7100.8
2025-12-10T22:03:22.967341,17,1432.85,success,200,1,0.869,7136.85
2025-12-10T22:03:22.911425,15,1447.28,success,200,1,0.892,7216.3
2025-12-10T22:03:26.131323,20,1359.82,success,200,1,0.474,6769.33
2025-12-10T22:03:26.070453,19,1385.92,success,200,1,0.07,6892.28
2025-12-10T22:03:30.094750,22,1186.98,success,200,1,0.452,5908.45
2025-12-10T22:03:30.148073,24,1181.72,success,200,1,0.451,5875.96
2025-12-10T22:03:30.087983,21,1196.49,success,200,1,0.356,5958.46
2025-12-10T22:03:30.131955,23,1739.42,success,200,1,0.348,5898.5
2025-12-10T22:03:33.000805,26,1175.68,success,200,1,0.229,5845.38
2025-12-10T22:03:36.031429,27,1203.31,success,200,1,0.35,5989.44
2025-12-10T22:03:32.932460,25,1832.94,success,200,1,0.773,6065.55
2025-12-10T22:03:36.057435,28,1216.44,success,200,1,0.534,6054.77
2025-12-10T22:03:36.071316,29,1673.21,success,200,1,0.437,5602.34
2025-12-10T22:03:38.831145,30,1126.27,success,200,1,0.631,5603.22
2025-12-10T22:03:42.140997,34,1020.48,success,200,1,0.348,5079.02
2025-12-10T22:03:38.880176,31,1677.09,success,200,1,0.168,5166.1
2025-12-10T22:03:44.439735,35,1210.19,success,200,1,0.522,6023.03
2025-12-10T22:03:44.463366,36,1205.56,success,200,1,0.533,6003.79
2025-12-10T22:03:42.049844,32,1698.23,success,200,1,0.536,6098.32
2025-12-10T22:03:42.098639,33,2002.57,timeout,0,1,,
2025-12-10T22:03:47.266633,38,1301.17,success,200,1,0.336,6476.05
2025-12-10T22:03:47.244911,37,2002.95,timeout,0,1,,
2025-12-10T22:03:50.491965,39,1438.28,success,200,1,0.784,7168.96
2025-12-10T22:03:52.111944,42,1122.87,success,200,1,0.458,5594.53
2025-12-10T22:03:50.543870,41,1441.88,success,200,1,0.581,7183.76
2025-12-10T22:03:53.774352,43,1247.66,success,200,1,0.999,6215.58
2025-12-10T22:03:50.492190,40,1923.62,success,200,1,0.677,6362.0
2025-12-10T22:03:57.754171,47,937.19,success,200,1,0.481,4660.42
2025-12-10T22:03:57.260911,44,1037.52,success,200,1,0.056,4712.29
2025-12-10T22:04:00.110621,49,947.13,success,200,1,0.287,4714.66
2025-12-10T22:03:57.684895,45,1448.73,success,200,1,0.985,4810.31
2025-12-10T22:03:57.727283,46,1907.87,success,200,1,0.545,4816.72
2025-12-10T22:04:02.441673,50,980.09,success,200,1,0.814,4875.57
2025-12-10T22:04:04.848377,52,1034.92,success,200,1,0.077,5149.8
2025-12-10T22:04:00.013111,48,2002.1,timeout,0,1,,
2025-12-10T22:04:02.449124,51,2002.46,timeout,0,1,,
2025-12-10T22:04:07.343284,55,1178.82,success,200,1,0.734,5870.89
2025-12-10T22:04:07.268538,54,1213.97,success,200,1,0.951,5994.67
2025-12-10T22:04:04.929843,53,2002.72,timeout,0,1,,
2025-12-10T22:04:10.024408,56,1369.32,success,200,1,0.671,6809.31
2025-12-10T22:04:10.024665,57,2003.11,timeout,0,1,,
2025-12-10T22:04:14.944899,61,1344.83,success,200,1,0.02,6698.97
2025-12-10T22:04:13.339335,60,1668.11,success,200,1,0.64,8320.66
2025-12-10T22:04:13.238603,59,1691.98,success,200,1,0.608,8423.4
2025-12-10T22:04:12.462959,58,1870.52,success,200,1,0.189,8529.67
2025-12-10T22:04:16.872485,62,1597.36,success,200,1,0.539,7918.51
2025-12-10T22:04:20.041321,63,974.48,success,200,1,0.256,4844.74
2025-12-10T22:04:21.669527,64,1346.11,success,200,1,0.919,6710.17
2025-12-10T22:04:21.818311,67,1329.7,success,200,1,0.255,6620.57
2025-12-10T22:04:21.680157,65,1368.49,success,200,1,0.703,6823.08
2025-12-10T22:04:21.698711,66,1364.88,success,200,1,0.734,6787.25
2025-12-10T22:04:24.915019,69,1283.69,success,200,1,0.818,6346.3
2025-12-10T22:04:24.860705,68,2003.78,timeout,0,1,,
2025-12-10T22:04:28.524200,73,1502.35,success,200,1,0.17,7488.21
2025-12-10T22:04:28.523650,72,1503.75,success,200,1,0.693,7487.83
2025-12-10T22:04:28.401867,70,1538.06,success,200,1,0.222,7667.8
2025-12-10T22:04:28.468205,71,1530.09,success,200,1,0.119,7622.73
2025-12-10T22:04:34.881869,75,863.58,success,200,1,0.329,4293.77
2025-12-10T22:04:31.334690,74,1599.63,success,200,1,0.659,7969.94
2025-12-10T22:04:36.043128,77,1428.06,success,200,1,0.82,7115.72
2025-12-10T22:04:36.119738,79,1413.18,success,200,1,0.235,7043.09
2025-12-10T22:04:36.093209,78,1420.24,success,200,1,0.81,7078.62
2025-12-10T22:04:36.037576,76,1432.34,success,200,1,0.347,7132.63
2025-12-10T22:04:39.201459,80,1444.62,success,200,1,0.96,7199.06
2025-12-10T22:04:39.333962,81,1440.69,success,200,1,0.396,7170.03
2025-12-10T22:04:43.200487,85,1439.81,success,200,1,0.721,7178.48
2025-12-10T22:04:43.188161,83,1454.8,success,200,1,0.801,7245.5
2025-12-10T22:04:43.186797,82,1456.93,success,200,1,0.014,7254.94
2025-12-10T22:04:43.197147,84,1456.31,success,200,1,0.923,7256.39
2025-12-10T22:04:46.425483,86,1446.13,success,200,1,0.552,7208.33
2025-12-10T22:04:46.537973,87,1424.65,success,200,1,0.014,7102.54
2025-12-10T22:04:50.471834,90,1432.58,success,200,1,0.858,7125.91
2025-12-10T22:04:50.462920,89,1440.0,success,200,1,0.615,7179.1
2025-12-10T22:04:50.479060,91,1438.69,success,200,1,0.514,7174.83
2025-12-10T22:04:50.401444,88,1456.59,success,200,1,0.635,7258.94
2025-12-10T22:04:53.657010,92,1365.77,success,200,1,0.653,6784.95
2025-12-10T22:04:53.662174,93,1369.4,success,200,1,0.62,6813.08
2025-12-10T22:04:57.685464,97,1182.48,success,200,1,0.669,5889.04
2025-12-10T22:04:57.635742,94,1202.14,success,200,1,0.755,5990.03
2025-12-10T22:04:57.663896,95,1210.93,success,200,1,0.937,6035.59
2025-12-10T22:05:00.510189,99,1276.13,success,200,1,0.678,6343.36
2025-12-10T22:04:57.672993,96,1857.26,success,200,1,0.842,6475.71
2025-12-10T22:05:00.487321,98,2002.7,timeout,0,1,,
2025-12-10T22:05:03.600016,100,1529.14,success,200,1,0.371,7619.99
2025-12-10T22:05:03.647612,101,1520.75,success,200,1,0.777,7582.25
2025-12-10T22:05:03.719665,102,1523.14,success,200,1,0.761,7593.38
2025-12-10T22:05:06.892089,103,1596.26,success,200,1,0.64,7920.41
2025-12-10T22:05:06.960647,104,1582.5,success,200,1,0.322,7849.84
2025-12-10T22:05:10.501839,105,880.81,success,200,1,0.7,4374.31
2025-12-10T22:05:11.246153,106,1430.75,success,200,1,0.384,7132.75
2025-12-10T22:05:11.251564,107,1434.35,success,200,1,0.568,7151.45
2025-12-10T22:05:11.335716,108,1426.15,success,200,1,0.873,7108.62
2025-12-10T22:05:14.906224,111,1416.91,success,200,1,0.479,7065.37
2025-12-10T22:05:14.875219,110,1425.84,success,200,1,0.719,7105.61
2025-12-10T22:05:14.874871,109,1440.96,success,200,1,0.68,7174.9
2025-12-10T22:05:18.401022,112,1367.77,success,200,1,0.554,6808.25
2025-12-10T22:05:18.424478,113,1369.88,success,200,1,0.35,6818.09
2025-12-10T22:05:18.467584,114,1367.33,success,200,1,0.255,6813.41
2025-12-10T22:05:22.080369,117,1184.16,success,200,1,0.359,5901.36
2025-12-10T22:05:21.991535,115,1206.63,success,200,1,0.911,6005.89
2025-12-10T22:05:25.274867,119,1258.4,success,200,1,0.318,6267.13
2025-12-10T22:05:22.005107,116,1919.31,success,200,1,0.969,6327.25
2025-12-10T22:05:25.307900,120,1266.11,success,200,1,0.304,6298.78
2025-12-10T22:05:28.002219,121,1214.94,success,200,1,0.209,6031.4
2025-12-10T22:05:25.241252,118,1767.59,success,200,1,0.135,6049.75
2025-12-10T22:05:31.639394,125,1105.47,success,200,1,0.581,5505.05
